query_id,time_ms,x0,y0,x1,y1
00940e97-e924-418a-b201-c4a8483eb845,192000,0.313,0.419,1.0,0.796
00940e97-e924-418a-b201-c4a8483eb845,193000,0.313,0.419,1.0,0.796
00940e97-e924-418a-b201-c4a8483eb845,194000,0.313,0.419,1.0,0.796
00940e97-e924-418a-b201-c4a8483eb845,195000,0.313,0.419,1.0,0.796
00be5644-b979-4cea-b918-2c56db537edc,194000,0.313,0.419,1.0,0.796
00be5644-b979-4cea-b918-2c56db537edc,195000,0.313,0.419,1.0,0.796
00be5644-b979-4cea-b918-2c56db537edc,196000,0.313,0.419,1.0,0.796
00be5644-b979-4cea-b918-2c56db537edc,197000,0.313,0.419,1.0,0.796
00be5644-b979-4cea-b918-2c56db537edc,198000,0.313,0.419,1.0,0.796
00be5644-b979-4cea-b918-2c56db537edc,199000,0.313,0.419,1.0,0.796
00d61cc4-fbfc-46d5-a493-9111612d7db3,195000,0.473,0.538,0.601,0.596
00d61cc4-fbfc-46d5-a493-9111612d7db3,197000,0.473,0.538,0.601,0.596
00d61cc4-fbfc-46d5-a493-9111612d7db3,199000,0.473,0.538,0.601,0.596
00eb3555-67f4-4f3f-9a6a-287dfbf7b459,48000,0.385,0.238,0.594,0.831
00eb3555-67f4-4f3f-9a6a-287dfbf7b459,50000,0.385,0.238,0.594,0.831
00eb3555-67f4-4f3f-9a6a-287dfbf7b459,53000,0.385,0.238,0.594,0.831
010680f0-0751-4f3d-b08d-d0d911af0780,85000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,87000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,90000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,93000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,95000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,98000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,101000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,104000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,108000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,110000,0.439,0.537,0.483,0.555
010680f0-0751-4f3d-b08d-d0d911af0780,113000,0.439,0.537,0.483,0.555
01235135-6871-4d6b-ba0c-7c1a29c890ae,37000,0.379,0.0,0.618,1.0
01235135-6871-4d6b-ba0c-7c1a29c890ae,43000,0.379,0.0,0.618,1.0
01235135-6871-4d6b-ba0c-7c1a29c890ae,47000,0.379,0.0,0.618,1.0
01235135-6871-4d6b-ba0c-7c1a29c890ae,54000,0.379,0.0,0.618,1.0
01aea2e5-1820-496c-88b7-3b86574247c0,106000,0.379,0.0,0.618,1.0
01aea2e5-1820-496c-88b7-3b86574247c0,108000,0.379,0.0,0.618,1.0
01aea2e5-1820-496c-88b7-3b86574247c0,283000,0.379,0.0,0.618,1.0
01aea2e5-1820-496c-88b7-3b86574247c0,284000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,485000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,492000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,500000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,507000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,513000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,529000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,533000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,536000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,543000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,577000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,584000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,602000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,613000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,625000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,635000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,640000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,651000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,660000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,673000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,698000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,702000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,705000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,709000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,718000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,747000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,785000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,790000,0.379,0.0,0.618,1.0
01b0d5ce-c987-4df0-a3fb-94211ccadb43,800000,0.379,0.0,0.618,1.0
