query_id,time_ms,x0,y0,x1,y1
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1167000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1168000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1169000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1170000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1171000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1172000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1173000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1174000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1175000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1176000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1177000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1178000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1179000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1180000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1181000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1182000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1183000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1184000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1185000,0.648,0.05,0.825,0.75
5a1f77aa-11fb-4c4a-a1c5-8c38f620e3ce,1186000,0.648,0.05,0.825,0.75
